Country,Region,HappinessScore,HappinessRank,GDPPerCapita,Family,LifeExpectancy,Freedom,GovernmentTrust,Generosity,Hemisphere,RealGDPPerCapita,Alcohol,Consumption
Lebanon,Middle East and Northern Africa,5.129,93,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,North,8.257,BeerPerCapita,20
Portugal,Western Europe,5.123,94,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,North,19.872,BeerPerCapita,194
Macedonia,Central and Eastern Europe,5.121,95,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,North,4.834,BeerPerCapita,106
Vietnam,Southeastern Asia,5.061,96,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,North,2.171,BeerPerCapita,111
Tunisia,Middle East and Northern Africa,5.045,98,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,North,3.689,BeerPerCapita,51
Greece,Western Europe,5.033,99,1.24886,0.75473,0.80029,0.05822,0.04127,0,North,17.882,BeerPerCapita,133
Mongolia,Eastern Asia,4.907,101,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,North,3.694,BeerPerCapita,77
Nigeria,Sub-Saharan Africa,4.875,103,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,North,2.176,BeerPerCapita,42
Honduras,Latin America and Caribbean,4.871,104,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,North,2.375,BeerPerCapita,69
Zambia,Sub-Saharan Africa,4.795,106,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,South,1.263,BeerPerCapita,32
Albania,Central and Eastern Europe,4.655,109,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,North,4.132,BeerPerCapita,89
Sierra Leone,Sub-Saharan Africa,4.635,111,0.36485,0.628,0,0.30685,0.08196,0.23897,North,481,BeerPerCapita,25
Namibia,Sub-Saharan Africa,4.574,113,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,South,4.561,BeerPerCapita,376
Cameroon,Sub-Saharan Africa,4.513,114,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,South,1.375,BeerPerCapita,147
South Africa,Sub-Saharan Africa,4.459,116,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,South,5.28,BeerPerCapita,225
Egypt,Middle East and Northern Africa,4.362,120,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,North,3.548,BeerPerCapita,6
Armenia,Central and Eastern Europe,4.36,121,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,North,3.606,BeerPerCapita,21
Kenya,Sub-Saharan Africa,4.356,122,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,Both,1.463,BeerPerCapita,58
Ukraine,Central and Eastern Europe,4.324,123,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,North,2.186,BeerPerCapita,206
Ghana,Sub-Saharan Africa,4.276,124,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,North,1.517,BeerPerCapita,31
Georgia,Central and Eastern Europe,4.252,126,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,North,3.866,BeerPerCapita,52
Senegal,Sub-Saharan Africa,4.219,128,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,North,953,BeerPerCapita,9
Bulgaria,Central and Eastern Europe,4.217,129,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,North,7.469,BeerPerCapita,231
Zimbabwe,Sub-Saharan Africa,4.193,131,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,South,1.029,BeerPerCapita,64
Malawi,Sub-Saharan Africa,4.156,132,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,South,300,BeerPerCapita,8
Gabon,Sub-Saharan Africa,4.121,134,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,South,7.079,BeerPerCapita,347
Mali,Sub-Saharan Africa,4.073,135,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,North,780,BeerPerCapita,5
Haiti,Latin America and Caribbean,4.028,136,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,North,735,BeerPerCapita,1
Botswana,Sub-Saharan Africa,3.974,137,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,South,6.954,BeerPerCapita,173
Comoros,Sub-Saharan Africa,3.956,138,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,South,775,BeerPerCapita,1
Cambodia,Southeastern Asia,3.907,140,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,North,1.27,BeerPerCapita,57
Angola,Sub-Saharan Africa,3.866,141,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,South,3.309,BeerPerCapita,217
Niger,Sub-Saharan Africa,3.856,142,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,North,368,BeerPerCapita,3
Chad,Sub-Saharan Africa,3.763,144,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,North,651,BeerPerCapita,15
Burkina Faso,Sub-Saharan Africa,3.739,145,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,North,614,BeerPerCapita,25
Madagascar,Sub-Saharan Africa,3.695,148,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,South,402,BeerPerCapita,26
Tanzania,Sub-Saharan Africa,3.666,149,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,South,878,BeerPerCapita,36
Liberia,Sub-Saharan Africa,3.622,150,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,North,455,BeerPerCapita,19
Benin,Sub-Saharan Africa,3.484,153,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,North,789,BeerPerCapita,34
Togo,Sub-Saharan Africa,3.303,155,0.28123,0,0.24811,0.34678,0.11587,0.17517,North,577,BeerPerCapita,36
Syria,Middle East and Northern Africa,3.069,156,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,North,2.058,BeerPerCapita,5
Denmark,Western Europe,7.526,1,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,North,53.579,WinePerCapita,278
Switzerland,Western Europe,7.509,2,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,North,79.866,WinePerCapita,280
Iceland,Western Europe,7.501,3,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,North,60.53,WinePerCapita,78
Norway,Western Europe,7.498,4,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,North,70.89,WinePerCapita,129
Finland,Western Europe,7.413,5,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,North,43.433,WinePerCapita,97
Canada,North America,7.404,6,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,North,42.349,WinePerCapita,100
Netherlands,Western Europe,7.339,7,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,North,45.638,WinePerCapita,190
New Zealand,Australia and New Zealand,7.334,8,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,South,40.332,WinePerCapita,175
Australia,Australia and New Zealand,7.313,9,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,South,49.897,WinePerCapita,212
Sweden,Western Europe,7.291,10,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,North,51.845,WinePerCapita,186
Israel,Middle East and Northern Africa,7.267,11,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,North,37.181,WinePerCapita,9
Austria,Western Europe,7.119,12,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,North,44.731,WinePerCapita,191
United States of America,North America,7.104,13,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,North,57.589,WinePerCapita,84
Costa Rica,Latin America and Caribbean,7.087,14,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,North,11.733,WinePerCapita,11
Germany,Western Europe,6.994,16,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,North,42.233,WinePerCapita,175
Brazil,Latin America and Caribbean,6.952,17,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,Both,8.639,WinePerCapita,16
Belgium,Western Europe,6.929,18,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,North,41.261,WinePerCapita,212
Ireland,Western Europe,6.907,19,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,North,64.1,WinePerCapita,165
Luxembourg,Western Europe,6.871,20,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,North,100.739,WinePerCapita,271
Mexico,Latin America and Caribbean,6.778,21,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,North,8.444,WinePerCapita,5
