Country,Region,HappinessScore,HappinessRank,GDPPerCapita,Family,LifeExpectancy,Freedom,GovernmentTrust,Generosity,Hemisphere,RealGDPPerCapita,Alcohol,Consumption
Kazakhstan,Central and Eastern Europe,5.919,54,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,North,7.715,TotalAlcPerCapita,382
Moldova,Central and Eastern Europe,5.897,55,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,North,1.913,TotalAlcPerCapita,353
Poland,Central and Eastern Europe,5.835,57,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,North,12.415,TotalAlcPerCapita,614
South Korea,Eastern Asia,5.835,57,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,North,27.105,TotalAlcPerCapita,165
Bolivia,Latin America and Caribbean,5.822,59,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,South,3.117,TotalAlcPerCapita,216
Lithuania,Central and Eastern Europe,5.813,60,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,North,14.913,TotalAlcPerCapita,643
Belarus,Central and Eastern Europe,5.802,61,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,North,5.023,TotalAlcPerCapita,557
Slovenia,Central and Eastern Europe,5.768,63,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,North,21.65,TotalAlcPerCapita,597
Peru,Latin America and Caribbean,5.743,64,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,Both,6.031,TotalAlcPerCapita,344
Turkmenistan,Central and Eastern Europe,5.658,65,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,North,6.389,TotalAlcPerCapita,122
Mauritius,Sub-Saharan Africa,5.648,66,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,North,9.682,TotalAlcPerCapita,147
Latvia,Central and Eastern Europe,5.56,68,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,North,14.07,TotalAlcPerCapita,559
Cyprus,Western Europe,5.546,69,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,North,23.541,TotalAlcPerCapita,459
Paraguay,Latin America and Caribbean,5.538,70,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,South,4.078,TotalAlcPerCapita,404
Romania,Central and Eastern Europe,5.528,71,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,North,9.532,TotalAlcPerCapita,586
Estonia,Central and Eastern Europe,5.517,72,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,North,17.737,TotalAlcPerCapita,477
Jamaica,Latin America and Caribbean,5.51,73,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,North,4.879,TotalAlcPerCapita,188
Croatia,Central and Eastern Europe,5.488,74,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,North,12.299,TotalAlcPerCapita,571
Turkey,Middle East and Northern Africa,5.389,78,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,North,10.863,TotalAlcPerCapita,80
Jordan,Middle East and Northern Africa,5.303,80,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,North,4.088,TotalAlcPerCapita,28
Azerbaijan,Central and Eastern Europe,5.291,81,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,North,3.881,TotalAlcPerCapita,72
Philippines,Southeastern Asia,5.279,82,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,North,2.951,TotalAlcPerCapita,258
China,Eastern Asia,5.245,83,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,North,8.117,TotalAlcPerCapita,279
Kyrgyzstan,Central and Eastern Europe,5.185,85,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,North,1.22,TotalAlcPerCapita,134
Serbia,Central and Eastern Europe,5.177,86,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,North,5.426,TotalAlcPerCapita,541
Bosnia and Herzegovina,Central and Eastern Europe,5.163,87,0.93383,0.64367,0.70766,0.09511,0,0.29889,North,4.809,TotalAlcPerCapita,257
Montenegro,Central and Eastern Europe,5.161,88,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,North,7.029,TotalAlcPerCapita,273
Dominican Republic,Latin America and Caribbean,5.155,89,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,North,6.794,TotalAlcPerCapita,349
Morocco,Middle East and Northern Africa,5.151,90,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,North,2.893,TotalAlcPerCapita,28
Hungary,Central and Eastern Europe,5.145,91,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,North,12.82,TotalAlcPerCapita,634
Lebanon,Middle East and Northern Africa,5.129,93,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,North,8.257,TotalAlcPerCapita,106
Portugal,Western Europe,5.123,94,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,North,19.872,TotalAlcPerCapita,600
Macedonia,Central and Eastern Europe,5.121,95,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,North,4.834,TotalAlcPerCapita,219
Vietnam,Southeastern Asia,5.061,96,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,North,2.171,TotalAlcPerCapita,114
Tunisia,Middle East and Northern Africa,5.045,98,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,North,3.689,TotalAlcPerCapita,74
Greece,Western Europe,5.033,99,1.24886,0.75473,0.80029,0.05822,0.04127,0,North,17.882,TotalAlcPerCapita,463
Mongolia,Eastern Asia,4.907,101,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,North,3.694,TotalAlcPerCapita,274
Nigeria,Sub-Saharan Africa,4.875,103,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,North,2.176,TotalAlcPerCapita,49
Honduras,Latin America and Caribbean,4.871,104,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,North,2.375,TotalAlcPerCapita,169
Zambia,Sub-Saharan Africa,4.795,106,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,South,1.263,TotalAlcPerCapita,55
Albania,Central and Eastern Europe,4.655,109,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,North,4.132,TotalAlcPerCapita,275
Sierra Leone,Sub-Saharan Africa,4.635,111,0.36485,0.628,0,0.30685,0.08196,0.23897,North,481,TotalAlcPerCapita,30
Namibia,Sub-Saharan Africa,4.574,113,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,South,4.561,TotalAlcPerCapita,380
Cameroon,Sub-Saharan Africa,4.513,114,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,South,1.375,TotalAlcPerCapita,152
South Africa,Sub-Saharan Africa,4.459,116,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,South,5.28,TotalAlcPerCapita,382
Egypt,Middle East and Northern Africa,4.362,120,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,North,3.548,TotalAlcPerCapita,11
Armenia,Central and Eastern Europe,4.36,121,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,North,3.606,TotalAlcPerCapita,211
Kenya,Sub-Saharan Africa,4.356,122,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,Both,1.463,TotalAlcPerCapita,82
Ukraine,Central and Eastern Europe,4.324,123,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,North,2.186,TotalAlcPerCapita,488
Ghana,Sub-Saharan Africa,4.276,124,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,North,1.517,TotalAlcPerCapita,44
Georgia,Central and Eastern Europe,4.252,126,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,North,3.866,TotalAlcPerCapita,301
Senegal,Sub-Saharan Africa,4.219,128,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,North,953,TotalAlcPerCapita,17
Bulgaria,Central and Eastern Europe,4.217,129,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,North,7.469,TotalAlcPerCapita,577
Zimbabwe,Sub-Saharan Africa,4.193,131,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,South,1.029,TotalAlcPerCapita,86
Malawi,Sub-Saharan Africa,4.156,132,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,South,300,TotalAlcPerCapita,20
Gabon,Sub-Saharan Africa,4.121,134,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,South,7.079,TotalAlcPerCapita,504
Mali,Sub-Saharan Africa,4.073,135,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,North,780,TotalAlcPerCapita,7
Haiti,Latin America and Caribbean,4.028,136,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,North,735,TotalAlcPerCapita,328
Botswana,Sub-Saharan Africa,3.974,137,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,South,6.954,TotalAlcPerCapita,243
Comoros,Sub-Saharan Africa,3.956,138,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,South,775,TotalAlcPerCapita,5
Cambodia,Southeastern Asia,3.907,140,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,North,1.27,TotalAlcPerCapita,123
Angola,Sub-Saharan Africa,3.866,141,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,South,3.309,TotalAlcPerCapita,319
Niger,Sub-Saharan Africa,3.856,142,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,North,368,TotalAlcPerCapita,6
Chad,Sub-Saharan Africa,3.763,144,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,North,651,TotalAlcPerCapita,17
Burkina Faso,Sub-Saharan Africa,3.739,145,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,North,614,TotalAlcPerCapita,39
Madagascar,Sub-Saharan Africa,3.695,148,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,South,402,TotalAlcPerCapita,45
Tanzania,Sub-Saharan Africa,3.666,149,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,South,878,TotalAlcPerCapita,43
Liberia,Sub-Saharan Africa,3.622,150,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,North,455,TotalAlcPerCapita,173
Benin,Sub-Saharan Africa,3.484,153,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,North,789,TotalAlcPerCapita,51
Togo,Sub-Saharan Africa,3.303,155,0.28123,0,0.24811,0.34678,0.11587,0.17517,North,577,TotalAlcPerCapita,57
Syria,Middle East and Northern Africa,3.069,156,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,North,2.058,TotalAlcPerCapita,56
